createdAt,id,lang,text
Thu Mar 29 11:27:24 KST 2018,979183212248276992,ko,RT @C__Hyeok__: 건강을...영업합니다... 하루 8잔 이상의 물을 마시세요 먼지가 많고 건조한 요즘같은 날씨엔 더 많은 물이 필요합니다 집에 들어가기 전에 겉옷을 두어번 털고 들어가세요 바로 눕지 말고 가볍게 스트레칭을 하고 나서 손발을…
Thu Mar 29 11:27:00 KST 2018,979183111354294272,ko,RT @ffv951230: 171229  요즘 날씨가 너무 춥죠....우리 태형이 꼭 밥 잘 먹고 잠 잘 자고 감기 조심하세용 🤧 @BTS_twt 여러분도 감기 조심하세요 #방탄소년단 #뷔 #태형 https://t.co/oALUxVqEwv
Thu Mar 29 11:26:58 KST 2018,979183102646894592,ko,RT @Barun_PC_Store: 날씨가 너무 덥네요 !! 바른사우나공방 됐어 !!! 🤣😂 https://t.co/yknN0u1M0M
Thu Mar 29 11:26:46 KST 2018,979183051719626752,ko,도쿄 지금날씨 여름아니냐.....
Thu Mar 29 11:26:43 KST 2018,979183040017530882,ko,RT @King_of_10duck: 대체 이 날씨에 파카 입은 사람은 무엇이야... https://t.co/YjCMNG1bh2
Thu Mar 29 11:26:43 KST 2018,979183037404491776,ko,RT @mysticRFA_ZEN: 앨범 보다가 찾았는데 수중씬 찍은게 있더라구 이런 날씨엔 수중씬은 커녕 노출씬도 힘들지만 ^^; 어때?  #수상한메신저 #Mysticmessenger https://t.co/bbTOex0boU
Thu Mar 29 11:26:42 KST 2018,979183036272033792,ko,RT @snowflower_JS: 180328 #윤지성 날씨는 아직 봄인데 지성이 머리엔 이른 포도알이 무르익었네♡ https://t.co/A6x0qOFKMs
Thu Mar 29 11:26:42 KST 2018,979183034552393728,ko,RT @King_of_10duck: 날씨 진짜 너무 좋아 https://t.co/NiMWORUqzb
Thu Mar 29 11:26:35 KST 2018,979183007360729088,ko,RT @mysticRFA_ZEN: 이걸 입고 나가기엔 아직 좀 더운날씨긴 하네; https://t.co/lR2rR2Dtdf
Thu Mar 29 11:26:34 KST 2018,979183003220852737,ko,RT @JTBC_news: #날씨 오늘(29일)도 전국 공기 탁하고 황사 가능성…낮 최고기온 서울이 20도 광주와 창원이 22도까지 올라 따뜻. 내일은 미세먼지 해소 전망. https://t.co/H9BM300Qnv https://t.co/LxsD…
Thu Mar 29 11:26:29 KST 2018,979182982337413120,ko,18살 미카즈키가 뻐렁친닼ㅋㅋㅋㅋㅋㅋㅋ 우아하게 앉아서 어머님 오늘은 날씨도 좋은데 같이 말을 타고 나가지 않으시렵니까 어머님이 잘하시는 계란말이를 싸 가지고 볕이 잘 드는 곳에서 함께 먹고 싶군요 하고 방긋 웃으면 내가 혼절한다....ㅋㅋㅋㅋ
Thu Mar 29 11:26:24 KST 2018,979182960959217664,ko,RT @mysticRFA_ZEN: 앨범 보다가 찾았는데 수중씬 찍은게 있더라구 이런 날씨엔 수중씬은 커녕 노출씬도 힘들지만 ^^; 어때?  #수상한메신저 #Mysticmessenger https://t.co/bbTOex0boU
Thu Mar 29 11:26:07 KST 2018,979182887604912128,ko,RT @nabom0326: 아니 진짜 너무웃겨 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 엠엘비 시우민에게 걸칠수 있는 최대한으로 걸쳐놨어 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 이날씨에 패딩조끼까지 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
Thu Mar 29 11:26:01 KST 2018,979182864473321472,ko,이제 완전히 여름 날씨네
Thu Mar 29 11:25:55 KST 2018,979182839085203456,ko,RT @nabom0326: 아니 진짜 너무웃겨 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 엠엘비 시우민에게 걸칠수 있는 최대한으로 걸쳐놨어 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 이날씨에 패딩조끼까지 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
Thu Mar 29 11:25:54 KST 2018,979182834819543040,ko,날씨가 좋네..나른하다..낮잠 자고 싶어.
Thu Mar 29 11:25:23 KST 2018,979182701541449728,ko,RT @nabom0326: 아니 진짜 너무웃겨 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 엠엘비 시우민에게 걸칠수 있는 최대한으로 걸쳐놨어 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 이날씨에 패딩조끼까지 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
Thu Mar 29 11:25:16 KST 2018,979182672814600194,ko,RT @nabom0326: 아니 진짜 너무웃겨 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 엠엘비 시우민에게 걸칠수 있는 최대한으로 걸쳐놨어 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 이날씨에 패딩조끼까지 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
Thu Mar 29 11:25:11 KST 2018,979182654091231232,ko,RT @offclASTRO: 재밌었던 예스터데이😛😛😛 #날씨 #조으다 #아로하 #모해요 https://t.co/R6gHgxKRXs
Thu Mar 29 11:25:07 KST 2018,979182635716001792,ko,대체 이 날씨에 파카 입은 사람은 무엇이야... https://t.co/YjCMNG1bh2
Thu Mar 29 11:25:06 KST 2018,979182633799135234,ko,RT @Barun_PC_Store: 날씨가 너무 덥네요 !! 바른사우나공방 됐어 !!! 🤣😂 https://t.co/yknN0u1M0M
Thu Mar 29 11:25:06 KST 2018,979182630963888128,ko,RT @C__Hyeok__: 건강을...영업합니다... 하루 8잔 이상의 물을 마시세요 먼지가 많고 건조한 요즘같은 날씨엔 더 많은 물이 필요합니다 집에 들어가기 전에 겉옷을 두어번 털고 들어가세요 바로 눕지 말고 가볍게 스트레칭을 하고 나서 손발을…
Thu Mar 29 11:25:00 KST 2018,979182608465743872,ko,RT @NCTsmtown: 오늘 날씨가 너무 좋아여 이런날에는 집보다 밖에서 NCT노래 들으면서 걸어요!! 오늘 사인회에서 만난 시즈니들도 너무 반가웠어요!!  Fullsun https://t.co/tq61Smmke5
Thu Mar 29 11:25:00 KST 2018,979182607614099458,ko,헉 오늘 날씨 적당히 촉촉하고 시원한데 해는 안 쨍하면서도 하늘은 맑고 구름 예쁘다 근데 난 출근해 (시발)
Thu Mar 29 11:24:56 KST 2018,979182589633208320,ko,RT @BTS_twt: 안녕하세요 오랜만이에요! 오늘 날씨가 참 좋네요! http://t.co/7MkTWgCdqe
Thu Mar 29 11:24:41 KST 2018,979182528467632128,ko,RT @Barun_PC_Store: 날씨가 너무 덥네요 !! 바른사우나공방 됐어 !!! 🤣😂 https://t.co/yknN0u1M0M
